x,y
-6.4493793548253935,-7.29640464905924
-6.44927926071023,-7.296230428283322
-6.449178941346681,-7.2960485060163425
-6.4490845127981915,-7.295869944562147
-6.448993098663816,-7.2956896184474305
-6.448902098713574,-7.295502000675566
-6.448816904059033,-7.295318248245697
-6.448559895615436,-7.2947283217898935
-6.447982070501382,-7.29333627777824
-6.4471934712618575,-7.291348753711071
-6.446252374250683,-7.288891534090307
-6.44516894942241,-7.285989280252451
-6.44398774714006,-7.28276470689692
-6.442669812330058,-7.2790812943900685
-6.4411778002639135,-7.274811635024509
-6.439611734212151,-7.270145127350297
-6.437913985398737,-7.2648096114602465
-6.436044732413396,-7.258554350787389
-6.434138337038858,-7.2518214352872565
-6.432154624613011,-7.244557249604309
-6.4299974332801115,-7.236484021352938
-6.427802946982766,-7.228084892226859
-6.425551894856289,-7.219207053419371
-6.423204266525626,-7.209459393163799
-6.4209092823783855,-7.199271277848733
-6.418620367410722,-7.188365973010563
-6.416267846569928,-7.176491749572625
-6.4139527916627115,-7.164422242571952
-6.411561528560004,-7.151792087071541
-6.409051528126394,-7.138464338735869
-6.406609376565989,-7.125497822457626
-6.404166798793796,-7.112528594409276
-6.4016500982761055,-7.099162756166291
-6.399207678639284,-7.086188863032796
-6.396767965504368,-7.073228685576829
-6.394259367287636,-7.059886465918418
-6.391832837667269,-7.046916479050718
-6.389419506088435,-7.033945838554399
-6.386944465697532,-7.020598800608835
-6.384538993571914,-7.007622873545782
-6.382133414831413,-6.994642694568283
-6.379648340931283,-6.981262200625448
-6.377226841286178,-6.9682912832992345
-6.374789582481703,-6.9553098613361355
-6.372271057413029,-6.941942011131072
-6.369825473248977,-6.928973227723712
-6.367377747805957,-6.916004572479447
-6.364857860830813,-6.9026450494093
-6.362416524167706,-6.8896733358278395
-6.3599807164628945,-6.876702535572055
-6.357481531318512,-6.8633639447263635
-6.355059124014,-6.850391865386096
-6.352645354008109,-6.8374180339810815
-6.350169855797537,-6.824066800859721
-6.34776817563096,-6.811091452060864
-6.345370679324043,-6.798114333311304
-6.342906506248742,-6.784741306256521
-6.340523859451924,-6.771766866295128
-6.3381470383270955,-6.758795054980521
-6.335704533444939,-6.745420506820014
-6.33334342990077,-6.732437373146237
-6.3309938663396865,-6.719459619024327
-6.328584462716475,-6.706086072727463
-6.326258454777213,-6.693100742866588
-6.323944721795953,-6.680109812872007
-6.3215684435719055,-6.666713377843679
-6.319265208707339,-6.653715936734839
-6.316963827251731,-6.640717718238745
-6.3145941404543535,-6.627326215857426
-6.3122959142536015,-6.614333557968715
-6.309998082438629,-6.601338329291506
-6.30762934693177,-6.587943898740453
-6.305328317522321,-6.5749441587518245
-6.3030273541284565,-6.561960269103998
-6.300653555880356,-6.548572134990581
-6.298352386034492,-6.5355744997467085
-6.296055647472677,-6.522578812473114
-6.293693980657252,-6.509192985802948
-6.2914134539654,-6.496204786815942
-6.28915112242975,-6.483210963126536
-6.286839795601198,-6.4698189513630595
-6.284626486256525,-6.456865052685004
-6.282435436263685,-6.443868239909476
-6.280208388695654,-6.4304674934422765
-6.278078856570705,-6.417456630036779
-6.2759826860685735,-6.404450809568525
-6.273856583751573,-6.3910424276332805
-6.271825087338389,-6.378020579281908
-6.269825926027769,-6.365002120524741
-6.267796258297446,-6.351581693584335
-6.265851852080876,-6.338540701911217
-6.263929442996292,-6.325490351035201
-6.26197427090976,-6.312042553704572
-6.260097760732048,-6.2990019736323735
-6.258230083630045,-6.285942278007539
-6.256317775190649,-6.27248397682199
-6.254465685995815,-6.25940233119284
-6.252611840283161,-6.246332406458078
-6.250697939948268,-6.232864055961721
-6.248836756179941,-6.2197910328931
-6.246973231573459,-6.206723677273064
-6.245049442529543,-6.1932599769440175
-6.243178849230731,-6.180191427199223
-6.241302777145085,-6.167124464414902
-6.239360946588534,-6.1536746213283875
-6.2374639251608395,-6.140607643621836
-6.235554650748088,-6.127535448971079
-6.233574033322564,-6.11406931210012
-6.231640454116829,-6.101007491768568
-6.229700219082052,-6.0879503917621856
-6.227700640797129,-6.07449743618967
-6.225760147055604,-6.061446520795541
-6.223818320723045,-6.04840248354424
-6.221814597516506,-6.034950987063229
-6.219868229316792,-6.02189210891469
-6.217922406024668,-6.008835276012189
-6.2159196173854605,-5.995387144457191
-6.213977215918319,-5.982333023895872
-6.212032441980984,-5.9692737910362
-6.2100243207914545,-5.955831157926563
-6.208066346570993,-5.9427791339788785
-6.206093080933361,-5.929714312444088
-6.204037974756914,-5.916253352526481
-6.202023776993213,-5.903195208648353
-6.199988378804807,-5.890145827851279
-6.197865024741247,-5.8766980050063236
-6.195779147232823,-5.863646652983481
-6.193662803888869,-5.850590988891548
-6.191445375211084,-5.837148860243591
-6.1892563558461,-5.8241053432073695
-6.1870317150383904,-5.811068392623852
-6.184704906468836,-5.797651778448484
-6.182411398951981,-5.784634924074463
-6.180090772977524,-5.771626294769914
-6.177678633723173,-5.75822609117994
-6.175318982926366,-5.745238081360127
-6.172938593375552,-5.73225230339418
-6.170466993293928,-5.718866329092521
-6.168052387124269,-5.705878768796607
-6.165621602875576,-5.692909834582036
-6.163089093586602,-5.679536719130887
-6.160605375169388,-5.666554307933326
-6.158103926985798,-5.653582868974743
-6.155515230346896,-5.6402356085976875
-6.152984770867649,-5.627271649727091
-6.150444814768878,-5.614314365059325
-6.147823535221596,-5.600970293884081
-6.145274325980875,-5.588020095639615
-6.142720084500915,-5.575068812380288
-6.140087039607615,-5.561725067036784
-6.137533509287669,-5.5487739049807585
-6.134984059762,-5.535837195514572
-6.132361311207847,-5.5225009047258675
-6.129827669618941,-5.509551996588657
-6.127308841946528,-5.496607308678232
-6.124731574790963,-5.483271613133656
-6.12225122120873,-5.4703223787445925
-6.119791293954319,-5.457365599721216
-6.117284084872248,-5.444016185083342
-6.114880942193816,-5.431063977665923
-6.112504112883439,-5.4180978044334065
-6.110083178763911,-5.404727695918621
-6.1077649554672995,-5.391764254000872
-6.105469193005149,-5.378783952010482
-6.1031301228111765,-5.3654047333048664
-6.100893063409481,-5.352421614026267
-6.098696795947717,-5.3394441093144
-6.096470867131303,-5.326057506326817
-6.094355331156102,-5.31306207852645
-6.092290427555187,-5.3000565350056155
-6.0902166524545125,-5.286648094632165
-6.088253617711933,-5.273633856302748
-6.086331842847847,-5.260604038403015
-6.084396817173525,-5.247174904149552
-6.082567476326991,-5.234165093862171
-6.080782254260464,-5.2211212510335745
-6.078993464899416,-5.207671429955429
-6.077310086301645,-5.194612764223509
-6.075681931620934,-5.181544781083573
-6.0740641342977835,-5.168083809286015
-6.072550290991521,-5.155010368626245
-6.071093012604784,-5.141946459957956
-6.069645728668546,-5.128466638854782
-6.06829614701954,-5.115374368873669
-6.067001170100644,-5.102272095094839
-6.0657244305828435,-5.088765571275945
-6.064540739706492,-5.075644975940226
-6.063414085642549,-5.062534781328753
-6.062312022804259,-5.049025658075891
-6.061304881306683,-5.035945493265384
-6.060361738707575,-5.022829839255762
-6.059459986252682,-5.009307131359139
-6.058652734939122,-4.996172981809402
-6.057912673968005,-4.983032399704061
-6.057220813918617,-4.969486134184286
-6.05662190511462,-4.956344491648432
-6.056101127514251,-4.943232713874329
-6.055643595151154,-4.92970124267852
-6.055275580311189,-4.916559993586872
-6.054980293736161,-4.903412076914706
-6.054752203880127,-4.889859085909204
-6.054604800419198,-4.876700262843071
-6.054535322134537,-4.863550003521737
-6.054551890862586,-4.850022042923402
-6.054652606795575,-4.8368904384057485
-6.054842323763073,-4.823765119930623
-6.055137764867439,-4.810238744560243
-6.055521587053467,-4.797107637018926
-6.056000571209936,-4.783973890880021
-6.056592898779239,-4.770443417592742
-6.057262710788316,-4.757325380649273
-6.0580256805138335,-4.744219857564736
-6.058911702782732,-4.730728169516387
-6.059869414722,-4.717635740061762
-6.060928584497333,-4.704554534617801
-6.062133479468342,-4.691081790507491
-6.063413147618667,-4.678011618735538
-6.06480329745179,-4.664956739411794
-6.066353418546192,-4.651528246934195
-6.067972534694934,-4.638510144015442
-6.069703059613292,-4.625534964718848
-6.071609261512115,-4.612154823734929
-6.07357511682228,-4.599182831325932
-6.075652392012027,-4.586218420929555
-6.0779031449441465,-4.572877633280383
-6.080193405030542,-4.559953078355545
-6.082586371932499,-4.547040925572306
-6.085155459406318,-4.53375652898943
-6.087747152694443,-4.5208966820350325
-6.090443062415498,-4.5080551843561185
-6.093331654672999,-4.494843711184256
-6.096242457519421,-4.482043218962454
-6.099259534242952,-4.469247427493338
-6.102463575472825,-4.456103140075466
-6.105669989609644,-4.443365516825501
-6.108974703666881,-4.430657044097893
-6.112489015993687,-4.417595409476935
-6.116001643191391,-4.404972916517684
